run,profile,layout,optimization,qspi_sha256,device_fingerprint,family,name,avg_cyc,max_cyc,pct_avg,pct_max,checksum
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,empty_callback,2,13,0.00,0.00,ea306fb5
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,mod_plane_2x_center,66654,69131,6.94,7.20,61d42d20
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,synth_1_voice,51949,52831,5.41,5.50,1816acc1
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,synth_2_voices,90897,92327,9.46,9.61,4dc805b7
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,synth_4_voices,163924,166833,17.07,17.37,2292dae2
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,synth_2x4,328835,334192,34.25,34.81,0d15b5eb
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,wave_2x4,284843,289403,29.67,30.14,6f28f4ea
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,fx_none,21629,21666,2.25,2.25,b538ce01
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,fx_grit,45748,45882,4.76,4.77,74f9b9f5
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,fx_flux_sdram,102483,108470,10.67,11.29,9ca91007
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,fx_comp,29069,29151,3.02,3.03,47a4392b
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,oliverb_solo_sram,95460,96342,9.94,10.03,82d044c4
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,instrument_init,635651,743660,66.21,77.46,8e9a0dbf
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,instrument_worst,974052,1028354,101.46,107.12,7d827e50
1,regress,axi,o3,ac234ac7f7540ed5cd0e8b8496b84fca8084a3b2c05cc513aa4dad8ed811fc27,1157cbd949e6c4100daa57d61d85e016d57e733f949f39e9a967add1e5e22dc8,system,inst_worst_deck_bus,737235,789350,76.79,82.22,aa8ee611
